"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that user is NOT able to authenticate using a invalid username and invalid password","132","Authorisation with a wrong credentials","04_pom.tests","Thu Jun 26 16:02:20 GMT 2025","passed","Thu Jun 26 16:02:20 GMT 2025","","test_login","",""
"Check that user is able to authenticate using a valid username and valid password","273","Authorisation with correct credentials","04_pom.tests","Thu Jun 26 16:02:20 GMT 2025","passed","Thu Jun 26 16:02:20 GMT 2025","","test_login","",""
"Check that user is able to authenticate using a valid username and valid password","391","Authorisation with correct credentials","04_pom.tests","Thu Jun 26 16:02:20 GMT 2025","passed","Thu Jun 26 16:02:20 GMT 2025","","test_login","",""
